pair_type,index_a,index_b,similarity,clause_a,clause_b,is_similar
high_sim,4179,5677,0.9914455413818359,"(each a ""Party"" and together the ""Parties"").","(each a ""Party"" and collectively the ""Parties"").",1
high_sim,7608,7609,0.9903242588043213,"initiate any Action against any member of the Honeywell Group or its Affiliates for infringement, misappropriation or other violation of any SpinCo IP, (ii) oppose, challenge, petition to cancel, contest or threaten in any way, or assist another party in opposing, challenging, petitioning to cancel, contesting or threatening in any way, any application or registration by the Honeywell Group or its Affiliates or their respective licensees for any Honeywell IP, the use of which is consistent with the use of such Honeywell IP in connection with the Honeywell Business as of immediately prior to the Distribution Date, (iii) engage in any act, or purposefully omit to perform any act, that impairs or adversely affects the rights of Honeywell or any member of the Honeywell Group in and to any Honeywell IP or (iv) apply for any registration with respect to the Honeywell IP (including federal, state and national registrations), in each case of the foregoing clauses (i) - (iv) for a period of five (5) years after the Distribution Date, without the prior written consent of Honeywell, which consent shall not be unreasonably withheld, conditioned or delayed.","Honeywell agrees that it will not, and agrees to cause each member of the Honeywell Group not to, (i) initiate any Action against any member of the SpinCo Group or its Affiliates for infringement, misappropriation or other violation of any Honeywell IP, (ii) oppose, challenge, petition to cancel, contest or threaten in any way, or assist another party in opposing, challenging, petitioning to cancel, contesting or threatening in any way, any application or registration by SpinCo or its Affiliates or their respective licensees for any SpinCo IP, the use of which is consistent with the use of such SpinCo IP in connection with the SpinCo Business as of immediately prior to the Distribution Date, (iii) engage in any act, or purposefully omit to perform any act, that impairs or adversely affects the rights of SpinCo or any member of the SpinCo Group in and to any SpinCo IP or (iv) apply for any registration with respect to the SpinCo IP (including federal, state and national registrations), in each case of the foregoing clauses (i) - (iv) for a period of five (5) years after the Distribution Date, without the prior written consent of SpinCo, which consent shall not be unreasonably withheld, conditioned or delayed.",1
high_sim,6593,6581,0.9889329075813293,"Without limiting the foregoing, Certegy hereby grants, and will cause





the other members of the Certegy Group to grant, to Equifax a fully paid, non- exclusive, perpetual, worldwide, transferable license to use, modify, improve, create Derivative Works from, and sublicense, the Utility Software Programs (in both object and source code format) identified on Exhibit L as being owned by Certegy or a member of the Certegy Group for any and all fields of use and to any and all Persons.","Without limiting the foregoing, Equifax hereby grants, and will cause the other members of the Equifax Group to grant, to Certegy a fully paid, non- exclusive, perpetual, worldwide, transferable license to use, modify, improve, create Derivative Works from, and sublicense, the Utility Software Programs (in both object and source code format) identified on Exhibit L as being owned by Equifax or a member of the Equifax Group for any and all fields of use and to any and all Persons.",1
high_sim,6776,6777,0.9887135028839111,"If this Agreement is renewed for the First Additional Term, then the First Additional Term shall commence on July 23, 2016, and the Agreement shall expire and terminate automatically without further notice on July 22, 2019.","If this Agreement is renewed for the Second Additional Term, then the Second Additional Term shall commence on July 23, 2019 and the Agreement shall expire and terminate automatically without further notice on July 22, 2022.",1
high_sim,8050,8052,0.9881975054740906,"common stock of the Company (calculated on an as-converted basis and as      adjusted for any stock split, stock dividend, recapitalization or similar      transaction)","common stock of the Company (calculated on an as-converted basis and as      adjusted for any stock split, stock dividend, recapitalization or similar      transaction).",1
high_sim,1529,1505,0.987265408039093,"Upon termination or expiration of this  Agreement,  if the  parties  do not enter  into a  successor  Franchise Agreement  whereby the Franchisee  shall continue to be a franchisee and operate the  Franchised  Restaurant at the Location,  BKC or its designee shall have the option subject to obtaining any necessary governmental consent:

                        (a)  To  purchase  the   Location   and/or  any  related equipment at fair market value, if the  Franchisee,  any of the Principals or an affiliate of the Franchisee owns the Location and/or related equipment.","Upon termination or expiration of this  Agreement,  if the  parties  do not enter  into a  successor  Franchise Agreement  whereby the Franchisee  shall continue to be a franchisee and operate the  Franchised  Restaurant at the Location,  BKC or its designee shall have the option subject to obtaining any necessary governmental consent:

                        (a)  To  purchase  the   Location   and/or  any  related equipment at fair market value, if the  Franchisee,  any of the Principals or an affiliate of the Franchisee owns the Location and/or related equipment.

                        (b) If the Location is leased by the Franchisee,  any of the  Principals  or an affiliate  of the  Franchisee,  subject to obtaining  any necessary  landlord's consent, to obtain an assignment of the leasehold interest at a price equal to the fair market value of the leasehold interest.",1
high_sim,7855,7844,0.9863608479499817,"Bioamber hereby grants Cargill, and Cargill hereby accepts, an exclusive, worldwide, royalty-free license with an unlimited right to  sublicense under and to Bioamber Improvements for use outside the Field during the term of this Development Agreement. Such  use shall be for research purposes only.","Bioamber hereby grants Cargill, and Cargill hereby accepts, an exclusive, worldwide, royalty-free license with an unlimited right to  sublicense under and to Bioamber Improvements for use outside the Field during the term of this Development Agreement",1
high_sim,6307,6308,0.9860482215881348,"This Assignment shall be governed by the laws of the State of Delaware, its rules of conflict of laws notwithstanding.","This Agreement shall be governed by the laws of the State of Delaware, its rules of conflict of laws notwithstanding.",1
high_sim,6399,547,0.9852110147476196,"Any and all claims and actions arising out of or relating to this Agreement, the relationship of you and us, or your operation of the Franchised Business, brought by any party hereto against the other, shall be commenced within two (2) years from the occurrence of the facts giving rise to such claim or action, or such claim or action shall be barred.","Any and all claims and actions arising out of or relating to this Agreement, the relationship between you and us, or your operation of the Restaurant, brought by any party hereto against the other, must be commenced within one (1) year from the occurrence of the facts giving rise to such claim or action, or, it is expressly acknowledged and agreed by all parties, such claim or action will be irrevocably barred.",1
high_sim,7966,2293,0.9845750331878662,"Such insurance (i) will be primary insurance with respect to each Party's own participation under this Agreement and (ii) will be issued by a recognized insurer rated by A.M. Best ""A-VII"" (or its equivalent) or better, or an insurer pre-approved in writing by the other Party.","Such insurance (a) shall be primary insurance with respect to each Party's own participation under this Agreement, (b) shall be issued by a recognized insurer rated by A.M. Best ""A-VII"" (or its equivalent) or better, or an insurer pre- approved in writing by the other Party, and (c) shall list the other Party as an additional insured under the General Liability Policy.",1
high_sim,5533,3940,0.9835106730461121,"In the event that, prior to commencement of the Contract Period, Company has filed one or more applications for registration of any such trademark, or otherwise has obtained any rights to such trademark, Company agrees to cause such applications and/or trademarks to be assigned and transferred to Licensor forthwith.","In the event that, prior to the Contract Period, Company has filed one or more applications for registration of any such trademark, or otherwise has obtained any rights to such trademark, Company agrees to cause such applications and/or trademarks to be assigned and transferred to Pey Dirt forthwith.",1
high_sim,4528,2097,0.9820964336395264,This Agreement shall be governed by and construed in accordance with the laws of the State of Connecticut.,This Agreement shall be governed by and construed in accordance with the laws of the State of Texas.,1
high_sim,5335,5328,0.9817113876342773,"If BII does not provide written notice of its exercise of the first right to negotiate within such [...***...] period, XENCOR and any Business Partner shall be free to enter into one or more agreements with third parties for the manufacture and supply of Product for use in Phase 2 and 3 clinical trials","If BII does not provide written notice of its exercise of the first right to negotiate within such [...***...] period, XENCOR and any Business Partner shall be free to enter into one or more agreements with third parties for the manufacture and supply of commercial Product (which may include an agreement for any Business Partner or its affiliate to manufacture and supply commercial Product).",1
high_sim,6752,7588,0.9814479351043701,"In the event the Company is unable to sell a minimum of    Shares within the period herein provided, this Agreement shall terminate and the  Company shall refund to any persons who have subscribed for any of the Shares the full amount which it may have received from them plus  accrued interest, as set forth in the Prospectus; and none of the parties to this Agreement shall have any obligation to the other parties hereunder,  except as set forth in this Section 2 and in Sections 7, 9 and 10 hereof","In the event the Holding Company is unable to sell a minimum of 17,850,000 Shares within the period herein provided, this Agreement shall terminate and the Holding Company shall refund to any persons who have subscribed for any of the Shares the full amount which it may have received from them plus accrued interest, as set forth in the Prospectus; and none of the parties to this Agreement shall have any obligation to the other parties hereunder, except as set forth in this Section 2 and in Sections 7, 9 and 10 hereof. In the event the Offering is terminated for any reason not attributable to the action or inaction of the Agent, the Agent shall be paid the fees due to the date of such termination pursuant to subparagraphs (a) and (e) below.",1
high_sim,4944,4945,0.9813671112060547,"If FMI is unable or unwilling to develop and commercialize an Immuno Clinical Study assay or CDx assay resulting from the Immunotherapy Testing Platform Development Program in a given country within the Territory as specified in an R&D Plan for any reason other than a breach of this Agreement by Roche, and on the timeline agreed to in such R&D Plan, then, effective on the end of the timeline specified in such R&D Plan, FMI hereby grants to Roche a non-exclusive, royalty-free, perpetual, and sublicensable license under any intellectual property invented by FMI arising from the Immunotherapy Testing Platform Program or the Immunotherapy Testing Platform Development that is necessary for Roche to develop and commercialize such tests in such country in the Territory.","If FMI is unwilling or unable to develop and commercialize a CDx Assay for a given country in the Territory as specified in the R&D Plan, and on the timeline set forth in the relevant R&D Plan, for any reason other than a breach of this Agreement by Roche, then FMI hereby grants to Roche a non-exclusive, royalty-free, sublicensable, and perpetual license under any intellectual property invented by FMI arising from the CDx Development Program that is necessary for Roche to develop and commercialize a CDx Assay equivalent in such country in the Territory.",1
high_sim,8037,7590,0.9808142185211182,"It is expressly  agreed that the Agent shall not be liable for any loss, liability,  claim, damage or expense or be required  to  contribute  any amount  which in the  aggregate  exceeds the amount paid (excluding reimbursable expenses) to the Agent under this Agreement.","It is expressly agreed that the Agent shall not be liable for any loss, liability, claim, damage or expense or be required to contribute any amount pursuant to Section 9(b) or this Section 10 which in the aggregate exceeds the amount paid (excluding reimbursable expenses) to the Agent under this Agreement.",1
high_sim,4172,1570,0.9806901812553406,"Each Party, at its own expense, shall maintain product liability and other appropriate insurance (or self- insure) in an amount consistent with industry standards during the Term.","Each party, at its own expense, shall maintain product liability and other appropriate insurance (or self- insure) in an amount consistent with industry standards during the Term and shall name the other party as an additional insured with respect to such insurance.",1
high_sim,249,6733,0.9806677103042603,"this  _____ day of _________, 20___","this ___ day of _________, 2004",1
high_sim,1482,4080,0.9805344939231873,This Agreement shall be governed by and construed in accordance with the laws of the State of California exclusive of its conflict of laws principles.,This Agreement shall be governed by and construed in accordance with the laws of the State of California without regard to its conflict of laws provisions.,1
high_sim,8463,8460,0.9803891181945801,"The cash royalty shall be an amount equal to six percent (6.0%) of the Net Sales Price of the invoice price of any Licensed Products and for which payment was actually received by Eutectix (the ""Liquidmetal Royalty"").","The cash commission shall be an amount equal to six percent (6.0%) of the Net Sales Price of the invoice price of Licensed Products sold by Eutectix or its permitted sublicensees and for which payment was actually received by Eutectix (the ""Liquidmetal Commission"").",1
high_sim,7065,7064,0.9784735441207886,"Option to convert annual royalties to TDA common stock at a $10 of             stock for every $1 of Royalty converted.

            a.    TDA stock conversion price based on the previous six month                   average daily price

            b.    Option is limited to 25,000 shares of TDA common stock and if                   the option is exercised, it must be exercised when the                   agreement is in effect.

            c.    This one-time option would cease all future royalties.","Option to convert annual royalties to TDA common stock at a $10 of             stock for every $1 of Royalty converted.

            a.    TDA stock conversion price based on the previous six month                   average daily price

            b.    Option is limited to 50% of TDA outstanding stock and if the                   option is exercised, it must be exercised when the agreement     &sbsp;             is in effect.",1
high_sim,2691,2688,0.9781780242919922,"Qualigen shall deliver to Sekisui: 7.2.1. as soon as practicable, but in any event within one-hundred eighty (180) days after the end of each fiscal year of Qualigen (i) a balance sheet as of the end of such year, (ii) a statement of income for such year, and (iii) a comparison between (x) the actual amounts as of and for such fiscal year and (y) the comparable amounts for the prior year and as included in Qualigen's budget for such year, with an explanation of any material differences between such amounts, all such financial statements in the form of a compilation prepared by independent public accountants; 7.2.2. as soon as practicable, but in any event within thirty (30) days after the end of each quarter of each fiscal year of Qualigen, an unaudited statement of income for such fiscal quarter, and an unaudited balance sheet as of the end of such fiscal quarter, all prepared in accordance with GAAP (except that such financial statements may (i) be subject to normal year-end audit adjustments; and (ii) not contain all notes thereto that may be required in accordance with GAAP);","7.2.3. as soon as practicable, but in any event within thirty (30) days of the end of each month, an unaudited income statement for such month, and an unaudited balance sheet as of the end of such month, all prepared in accordance with GAAP (except that such financial statements may (i) be subject to normal year-end audit adjustments and (ii) not contain all notes thereto that may be required in accordance with GAAP); 7.2.4. as soon as practicable, but in any event within forty five (45) days after the end of each quarter of each fiscal year of Qualigen, a progress report setting forth Qualigen's business results and progress against the Development Plan; and 7.2.5. as soon as practicable, but in any event no later than sixty (60) days before the end of each fiscal year, a budget and business plan for the next fiscal year, prepared on a monthly basis, including balance sheets and income statements.",1
high_sim,2242,7650,0.9781091213226318,"Subject to applicable law, the Company, on the one hand, and each of the Marathon Parties on the other hand, covenants and agrees that, during the Support Period or if earlier, until such time as the other Party or any of its or her officers, directors, employees, subsidiaries, Affiliates, Associates, agents, attorneys or other representatives (collectively, the ""Representatives"") shall have breached this section, neither it nor any of its respective Representatives acting, directly or indirectly, at its direction or on its behalf, shall in any way publicly (including by any communication with other investors or prospective investors in the Company where such communications could reasonably be expected to be made public or trigger a public disclosure obligation, with securities analysts or any member of traditional or digital media) criticize, disparage, call into disrepute or otherwise defame or slander the other Party or such other Party's Representatives (including any current officer or director of a Party or a Party's subsidiaries who no longer serves in such capacity at any time following the execution of this Agreement), or any of their businesses, products or services, in any manner that would reasonably be expected to damage the business or reputation of such other Party.","Subject to applicable law, each of the Parties covenants and agrees that, during the Standstill Period, neither Party nor any of its subsidiaries, Affiliates, successors, assigns, principals, partners, members, general partners, officers, key employees or directors (collectively, ""Representatives""), shall in any way, directly or indirectly, in any capacity or manner, whether written or oral, electronically or otherwise (including, without limitation, in a television, radio, internet, newspaper, magazine interview, or otherwise through the press, media, analysts or other persons or in any document or report filed with the SEC), publicly disparage, impugn, make ad hominem attacks on or otherwise defame or slander or make, express, transmit, speak, write, verbalize or otherwise publicly communicate in any way (or cause, further, assist, solicit, encourage, support or participate in any of the foregoing), any public communication or statement of any kind, whether verbal, in writing, electronically transferred or otherwise, that might reasonably be construed to be disparage, derogate or impugn, the other Party or such other Party's Representatives (including any current officer or director of a Party or a Parties' subsidiaries who no longer serves in such capacity following the execution of this Agreement), employees, stockholders (solely in their capacity as stockholders of the applicable Party), or any of their businesses, products or services, in any manner that would reasonably be expected to damage the business, or reputation of the other Party or of its Representatives (including former officers and directors), directors (or former directors), employees, stockholders (solely in their capacity as stockholders of the applicable Party); provided that, with respect to any litigation, arbitration or other proceeding between the Parties, nothing in this Section 5 shall prevent either Party from disclosing any facts or circumstances with respect to any such litigation, arbitration or other proceeding.",1
high_sim,4528,7660,0.9773164987564087,This Agreement shall be governed by and construed in accordance with the laws of the State of Connecticut.,This Agreement shall be governed by and construed in accordance with the laws of the State of Missouri.,1
high_sim,2097,7660,0.9769770503044128,This Agreement shall be governed by and construed in accordance with the laws of the State of Texas.,This Agreement shall be governed by and construed in accordance with the laws of the State of Missouri.,1
high_sim,901,2544,0.976536214351654,"IN NO EVENT SHALL EITHER PARTY BE LIABLE TO THE OTHER FOR ANY ""COVER"" DAMAGES (INCLUDING INTERNAL COVER DAMAGES WHICH THE PARTIES AGREE MAY NOT BE CONSIDERED DIRECT DAMAGES), OR ANY INCIDENTAL, CONSEQUENTIAL, SPECIAL OR PUNITIVE DAMAGES OF ANY KIND OR NATURE ARISING OUT OF THIS AGREEMENT OR THE SALE OF MANUFACTURER'S PRODUCTS, WHETHER SUCH LIABILITY IS ASSERTED ON THE BASIS OF CONTRACT, TORT (INCLUDING THE POSSIBILITY OF NEGLIGENCE OR STRICT LIABILITY), OR OTHERWISE, EVEN IF THE PARTY HAS BEEN WARNED OF THE POSSIBILITY OF ANY SUCH LOSS OR DAMAGE, AND EVEN IF ANY OF THE LIMITED REMEDIES IN THIS AGREEMENT





FAIL OF THEIR ESSENTIAL PURPOSE.","IN NO EVENT SHALL EITHER PARTY BE LIABLE TO THE OTHER FOR ANY INCIDENTAL, CONSEQUENTIAL, SPECIAL OR PUNITIVE DAMAGES OF ANY KIND OR NATURE ARISING OUT OF THIS AGREEMENT OR THE SALE OF PRODUCTS, WHETHER SUCH LIABILITY IS ASSERTED ON THE BASIS OF CONTRACT, TORT (INCLUDING THE POSSIBILITY OF NEGLIGENCE OR STRICT LIABILITY), OR OTHERWISE, EVEN IF THE PARTY HAS BEEN WARNED OF THE POSSIBILITY OF ANY SUCH LOSS OR DAMAGE.",1
high_sim,5182,6699,0.975540280342102,"This Agreement shall be automatically renewed for successive three (3) year terms thereafter (each a ""Renewal Term"" and together with the Initial Term, the ""Term"") until and unless (i) either Party provides the other Party written notice of non-renewal no later than ninety (90) days prior the end of the Initial Term or any Renewal Term or (ii) earlier terminated as provided in this ARTICLE 11.","Unless terminated sooner, the term of this Agreement shall begin on the Effective Date and continue for three (3) years  thereafter (the ""Initial Term"") and shall automatically renew for additional one (1) year terms on the terms and conditions set forth herein (each a  ""Renewal Term"" and collectively, the ""Term"") unless either party gives the other Party Notice of its intention to terminate this Agreement ninety  (90) days before the end of the Initial Term or Renewal Term, if any.",1
high_sim,8810,547,0.9751843214035034,"Each party to this agreement agrees that any and all claims and actions arising out of or relating to this agreement, the parties' relationship, and/or your operation of the franchised business, brought by any party hereto against the other, shall be commenced within one (1) year from the occurrence of the facts giving rise to such claim or action, or, it is expressly acknowledged and agreed by all parties, such claim or action shall be irrevocably barred; provided, however, that the time limit for filing claims contained in this Section 27.7 shall not apply","Any and all claims and actions arising out of or relating to this Agreement, the relationship between you and us, or your operation of the Restaurant, brought by any party hereto against the other, must be commenced within one (1) year from the occurrence of the facts giving rise to such claim or action, or, it is expressly acknowledged and agreed by all parties, such claim or action will be irrevocably barred.",1
high_sim,3837,8971,0.9750139117240906,"may provide for different fees, advertising requirements, duration, and other rights and obligations from those provided in this Agreement);

            4.    The proposed transferee agrees in writing to perform such maintenance, remodeling and re-equipping of the Restaurant that we determine necessary to bring the Restaurant in compliance with our then-current standards;

            5.    Prior to the date of the proposed Transfer, the proposed transferee's management team successfully completes such training and instruction as we deem necessary;

            6.    We are satisfied that the proposed transferee (and if the proposed transferee is an entity, all holders of any interest in such entity) meets all of the requirements for our new franchisees applicable on the date we receive notice of the proposed transfer and including, but not limited to, good reputation and character, business experience, restaurant management experience, and financial strength and liquidity;

            7.    You and all holders of an interest in you execute a general release, in the form prescribed by us, releasing, to the fullest extent permitted by law, all claims that you or any of your investors may have against us and our affiliates, including our and their respective shareholders, officers, directors and employees, in both their individual and corporate capacities;

            8.    You pay us a transfer fee equal to one-half (1/2) of the then-current Initial Franchise Fee; and

            9.    We waive our right of first refusal under Paragraph XX.","If you propose to Transfer this Agreement, the Franchise or its assets, or any Interest, or if any of your Principal Owners proposes to Transfer a controlling Interest in you or make a Transfer that is one of a series of Transfers which taken together would constitute the Transfer of a controlling Interest in you, then all of the following conditions must be met before or at the time of the Transfer:   (a) the Proposed New Owner must have sufficient business experience, aptitude, and financial resources to operate the Franchise;   (b) you must pay any amounts owed for purchases from us and our affiliates, and any other amounts owed to us or our affiliates which are unpaid;   (c) the Proposed New Owner's directors and such other personnel as we may designate must have successfully completed our Initial Training program, and shall be legally authorized and have all licenses necessary to perform the services offered by the Franchise. The Proposed New Owner shall be responsible for any wages and compensation owed to, and the travel and living expenses (including all transportation costs, room, board and meals) incurred by, the attendees who attend the Initial Training program;   (d) if your lease for the Premises requires it, the lessor must have consented to the assignment of the lease of the Premises to the Proposed New Owner;   (e) you (or the Proposed New Owner) must pay us a Transfer fee equal to seventy-five percent (75%) of the then current initial franchise fee we charge to new Start-up Location franchisees, and must reimburse us for any reasonable expenses incurred by us in investigating and processing any Proposed New Owner where the Transfer is not consummated for any reason;   (f) you and your Principal Owners and your and their spouses must execute a general release (in a form satisfactory to us) of any and all claims you and/or they may have against us, our affiliates, and our and our affiliates' respective officers, directors, employees, and agents;",1
high_sim,835,2265,0.9735872745513916,"Except as otherwise set forth herein, neither party shall transfer, assign or cede any rights or delegate any obligations hereunder, in whole or in part, whether voluntarily or by operation of law, without the prior written consent of the other party, which consent may be withheld at the other party's reasonable business discretion; provided, however, that either party may transfer this Agreement without prior written consent of the other to an Affiliate of such party, or to the surviving party in a merger or consolidation, or to a purchaser of all or substantially all of its assets.","Without the prior written consent of the other Party, such consent not to be unreasonably withheld, conditioned, or delayed, neither Party shall sell, transfer, assign, delegate, pledge, or otherwise dispose of, whether voluntarily, involuntarily, by operation of law or otherwise, this Agreement or any of its rights or duties hereunder; provided that either Party may make such an assignment without the other Party's consent to its Affiliate or to a successor, whether in a merger, sale of stock, sale of assets or any other transaction, of the business to which this Agreement relates.",1
